name,address,long,lat
終審法院,香港中環炮台里1號,114-9-35,22-16-46
京士柏曲棍球場,九龍衛理道六號,114-10-39,22-18-25
紅磡海濱長廊,九龍紅磡建灣街,0114/11/16,22-18-1
天瑞體育館,新界元朗天水圍天瑞路7號地下及1樓,113-59-53,22-27-17
西九龍母嬰健康院,九龍深水埗長沙灣道303號長沙灣政府合署西九龍健康中心2樓,114-9-37,22-19-55
海港政府大樓,香港中區統一碼頭道38號地下及1樓,0114/9/18,22-17-12
香港公園,香港中環紅棉路19號,114-9-41,22-16-38
屯門康樂體育中心,新界屯門龍門路54號,113-57-46,22-22-54
牛池灣街市熟食中心,九龍牛池灣清水灣道11號牛池灣街市2樓,114-12-32,22-20-4
青衣體育館,新界青衣青綠街38號青衣市政大廈2樓,0114/6/23,22-21-15
鯉魚門公共圖書館,九龍觀塘鯉魚門徑6號鯉魚門市政大廈1樓,114-14-19,22-17-31
大興社區會堂,新界屯門大興邨,113-58-13,22-24-8
廣源社區會堂,新界沙田小瀝源路68號廣源邨,114-12-52,22-22-51
翠林社區會堂,新界將軍澳翠林邨,114-14-53,22-19-28
南昌社區中心,九龍深水埗昌新里1號地下、1樓及4樓,0114/9/27,22-19-38
赤柱正灘水上活動中心,香港赤柱赤柱連合道,114-12-51,22-13-13
石塘咀體育館,香港皇后大道西470號石塘咀市政大廈5樓,0114/8/10,22-17-9
彩雲社區中心,九龍牛池灣彩雲邨彩鳳徑38號,114-12-50,22-20-6
葵盛社區會堂,新界葵涌葵盛西邨第 6 座平台,0114/7/18,22-21-41
粉嶺公共圖書館,新界粉嶺和滿街9號2樓,114-8-41,22-30-1
石湖墟街市熟食中心,新界上水智昌路13號石湖墟市政大廈2樓,114-7-51,22-30-8
山頂道花園,香港山頂山頂道,114-8-59,22-16-15
漁灣社區會堂,香港柴灣柴灣道365號漁灣邨,114-14-29,22-15-58
紅磡社區會堂,九龍紅磡庇利街42號九龍城政府合署,0114/11/23,22-18-43
蒲崗村道體育館,九龍黃大仙蒲崗村道120號地下至2樓,0114/12/6,22-20-44
黃泥涌街市熟食中心,香港跑馬地毓秀街2號黃泥涌市政大廈2樓,0114/11/9,22-16-8
保安道公共圖書館,九龍深水埗保安道325-329號保安道市政大廈2樓,0114/9/27,22-20-19
天暉路社區會堂,新界元朗天水圍天暉路,113-59-50,22-27-55
九龍灣運動場,九龍灣啟樂街1號,114-12-35,22-19-36
元朗公共圖書館,新界元朗橋樂坊2號元朗政府合署1樓,114-1-38,22-26-43
黃大仙民政事務處 - 諮詢服務中心,九龍黃大仙龍翔道138號龍翔辦公大樓2樓201室,114-11-32,22-20-31
入境事務處 - 東九龍辦事處,九龍藍田匯景道1-17號匯景花園匯景廣場第2層,114-14-1,22-18-26
石塘咀街市熟食中心,香港石塘咀皇后大道西470號石塘咀市政大廈2樓,0114/8/10,22-17-9
長發社區中心,新界青衣担杆山路 6 號,0114/6/10,22-21-48
旺角大球場,九龍旺角花墟道37號,0114/10/22,22-19-34
荃灣大會堂,新界荃灣大河道72號,114-6-47,22-22-14
山景社區會堂,新界屯門山景邨,113-57-56,22-23-47
黃大仙社區中心,九龍黃大仙正德街104號,114-11-40,22-20-28
大埔民政事務處 - 諮詢服務中心,新界大埔汀角路1號大埔政府合署地下,114-9-51,22-27-3
九龍城民政事務處 - 諮詢服務中心,九龍紅磡庇利街42號九龍城政府合署低層地下,0114/11/23,22-18-43
香港仔海濱公園,香港香港仔海傍道,0114/9/14,22-14-51
南丫島南段公共圖書館,新界南丫島索罟灣第2街地下,114-7-54,2022/12/21
楊屋道體育館,新界荃灣楊屋道45號楊屋道市政大廈4樓,114-6-52,22-22-8
瀝源公共圖書館,新界沙田瀝源邨貴和樓地下101-110號,0114/11/26,22-23-5
葵青劇院,新界葵涌興寧路12號,114-7-34,22-21-24
鴨脷洲街市熟食中心,香港鴨脷洲洪聖街8號鴨脷洲市政大廈1樓,0114/9/20,22-14-40
官涌街市熟食中心,九龍油麻地寶靈街17號官涌市政大廈2樓,0114/10/6,22-18-16
港灣道體育館,香港灣仔港灣道27號地下及1樓,114-10-35,22-16-53
香港文化中心,九龍尖沙咀梳士巴利道10號,0114/10/14,22-17-38
大埔墟體育館,新界大埔鄉事會街8號大埔綜合大樓6至7樓,114-9-60,22-26-46
屯門法院大樓,新界屯門屯喜路1號,113-58-32,22-23-25
東九龍就業中心,九龍新蒲崗太子道東698號寶光商業中心7樓705-6室,114-11-54,22-20-3
入境事務處 - 查詢及聯絡組,香港灣仔告士打道7號入境事務大樓2樓,0114/10/23,22-16-47
北角公共圖書館,香港北角百福道北角街市大廈地下,0114/12/20,22-17-29
沙田政府合署,新界沙田上禾輋路1號地下,0114/11/13,22-23-8
青衣運動場,新界青衣青敬路51號,0114/6/29,22-21-23
土瓜灣體育館,九龍土瓜灣下鄉道66號地下及1樓,0114/11/24,22-19-8
油蔴地公共圖書館,九龍上海街250號地下及閣樓,0114/10/14,22-18-33
人事登記處 - 港島辦事處,香港灣仔告士打道7號入境事務大樓8樓,0114/10/23,22-16-47
廣福社區會堂,新界大埔廣福邨,0114/10/27,22-26-50
建生社區會堂,新界屯門建生邨建生社區會堂地下,113-58-9,22-24-23
北區運動場,新界上水天平路 26 號,114-7-49,22-30-23
石圍角公共圖書館,新界荃灣石圍角邨石芳樓215-219室,0114/7/27,22-22-29
東涌文東路體育館,新界大嶼山東涌文東路39號東涌市政大樓地下至2樓,113-56-38,22-17-26
西貢公共圖書館,"新界西貢親民街34號,西貢政府合署5樓",114-16-20,22-22-56
荃灣政府合署,新界荃灣西樓角道38號2樓及4樓,114-6-54,22-22-29
北葵涌公共圖書館,新界葵涌石蔭路北葵涌街市及圖書館2樓及3樓,0114/8/19,22-22-14
天秀墟,新界天水圍天秀路18號,114-0-2,22-27-57
屏山鄧族文物館暨文物徑訪客中心,新界元朗屏山坑頭村,114-0-37,22-26-45
鰂魚涌公共圖書館,香港鰂魚涌鰂魚涌街38號鰂魚涌市政大廈4至5樓,114-12-42,22-17-1
湖山路社區會堂,新界屯門湖山路101號,113-58-7,22-22-37
香港歷史檔案大樓,九龍觀塘翠屏道13號,114-13-46,22-18-46
九龍政府合署,九龍油麻地彌敦道405號地下,0114/10/15,22-18-34
人事登記處 - 觀塘辦事處,觀塘偉業街223-231號宏利金融中心2樓3號辦公室,114-13-26,22-18-27
屏山天水圍公共圖書館,新界天水圍聚星路1號屏山天水圍文化康樂大樓高座,114-0-17,22-26-51
聯和墟社區會堂,新界粉嶺聯和墟和滿街9號地下,114-8-41,22-30-1
九龍城法院大樓,九龍亞皆老街147M號,0114/11/7,22-19-31
北河街體育館,九龍深水埗基隆街333號北河街市政大廈5樓、6樓及U6樓,114-9-40,22-19-45
禮頓山社區會堂,香港跑馬地黃泥涌道133號地下,114-10-59,22-16-32
九龍仔公園,九龍塘延文禮士道,0114/11/1,22-19-57
西區社區中心,香港西營盤西邊街36號A,0114/8/27,22-17-9
香港公園體育館,香港中環紅棉路29號地下至2樓,114-9-33,22-16-38
西貢賽馬會大會堂,新界西貢親民街8號,114-16-17,22-22-59
入境事務處 - 港島區簽發旅行證件辦事處,香港中環統一碼頭道38號海港政府大樓2樓,0114/9/18,22-17-12
漁光道體育館,香港香港仔漁光道43號,0114/9/25,22-15-2
投資推廣署,香港中環紅棉路8號東昌大廈25字樓,114-9-46,22-16-48
鳳琴街體育館,新界元朗鳳攸北街20號地下,114-1-59,22-26-35
孫中山紀念館,香港中環衛城道7號,0114/9/3,22-16-55
中西區民政事務處 - 諮詢服務中心,香港中環統一碼頭道38號海港政府大樓地下,0114/9/18,22-17-12
牛池灣公共圖書館,九龍清水灣道11號牛池灣市政大廈5至6樓,114-12-34,22-20-4
石硤尾公園體育館,九龍深水埗南昌街290 號地下至2樓,0114/10/12,22-20-14
白田社區會堂,九龍石硤尾白田街白田邨地下至1樓,114-9-60,22-20-10
荃灣公共圖書館,新界荃灣西樓角路38號3至5樓,114-6-56,22-22-27
離島民政事務處 - 東涌諮詢服務中心,新界大嶼山東涌美東街6號東涌郵政局大廈1樓,113-56-22,22-17-21
鵝頸街市熟食中心,香港灣仔寶靈頓道21號1樓,114-10-49,22-16-42
順利邨體育館,九龍觀塘順利邨道地下至2樓,114-13-32,22-19-47
中山紀念公園體育館,香港西營盤東邊街北18號,114-8-37,22-17-25
法律援助署九龍分署,九龍旺角聯運街30號旺角政府合署3樓,0114/10/21,22-19-17
石澳泳灘,香港石澳石澳道,114-15-3,22-13-43
稅務局-中央詢問處,香港灣仔告士打道5號稅務大樓1樓,0114/10/19,22-16-47
青嶼幹線訪客中心,青衣島西北面,114-4-53,22-21-31
蒲崗村道公園,九龍黃大仙鑽石山蒲崗村道140號,0114/12/13,22-20-38
葵興政府合署,新界葵涌興芳路166-174號地下及2樓,114-7-54,22-21-47
馬鞍山體育館,新界沙田馬鞍山鞍駿街14號地下及1樓,114-13-46,22-25-34
港島東體育館,香港西灣河鯉景道52號地下,114-13-20,22-17-5
太和鄰里社區中心,新界大埔太和邨,114-9-41,22-27-10
瑞和街街市熟食中心,九龍觀塘瑞和街9號第4層,114-13-27,22-18-56
柴灣公共圖書館,香港柴灣柴灣道338號柴灣市政大廈4樓及5樓,114-14-24,22-15-48
西貢民政事務處 - 諮詢服務中心,新界將軍澳坑口培成路38號西貢將軍澳政府綜合大樓地下,114-16-5,22-19-1
寶康公園,新界將軍澳運隆路,114-15-28,22-19-8
沙頭角社區會堂,新界沙頭角順興街55號,114-13-22,22-32-46
士美非路體育館,香港堅尼地城士美非路12號K士美非路市政大廈4至6樓,114-7-43,22-16-55
小西灣運動場,香港小西灣富康街8號,114-14-57,22-16-3
土地審裁處,九龍油麻地加士居道38號土地審裁處,0114/10/22,22-18-30
九龍灣公園 - 11人足球場(人造草),九龍灣啟禮道11號,0114/12/25,22-19-37
九龍公園游泳池,九龍尖沙咀柯士甸道22號九龍公園游泳池,0114/10/13,22-18-7
長洲體育館,新界長洲長洲醫院路3號地下及1樓,114-1-52,2022/12/27
良田體育館,新界屯門田景邨停車場4字樓,113-57-54,22-24-24
香港歷史博物館,九龍尖沙咀漆咸道南100號,114-10-39,22-18-6
伊利沙伯體育館,香港灣仔愛群道18號,114-10-44,22-16-31
長亨社區會堂,青衣長亨邨長亨社區會堂地下,114-5-54,22-21-19
紅磡公共圖書館,"九龍馬頭圍道11號,紅磡市政大廈6樓",0114/11/14,22-18-26
天水圍公園,新界天水圍天瑞路6號,114-0-9,22-27-24
富善社區會堂,新界大埔富善邨,114-10-35,22-27-17
沙角社區會堂,新界沙田沙角街5號沙角商場,114-11-43,22-22-41
長沙灣體育館,九龍深水埗興華街與長沙灣道交界地下,0114/9/12,22-20-17
元朗民政事務處 - 諮詢服務中心,新界元朗青山道269號元朗民政事務處大廈地下,0114/1/22,22-26-42
梅窩公共圖書館,新界大嶼山梅窩銀石街9號梅窩市政大廈地下,113-59-47,22-16-1
界限街一號及二號體育館,九龍旺角洗衣街200號地下至1樓,0114/10/14,22-19-32
友愛體育館,新界屯門興安里3號上層及地下,113-58-19,22-23-8
大角咀體育館,九龍大角咀福全街63號大角咀市政大廈 5 至 7 樓,114-9-46,22-19-19
香港文化中心露天廣場及尖沙咀海濱花園,九龍尖沙咀梳士巴利道,0114/10/12,22-17-36
